Player 1,Player 2,Player 3,Player 4,,,,
14.76445016,16.14733594,26.68477599,18.78101496,4,3,1,2
18.7827941,13.03526848,15.76445016,15.33872952,1,4,2,3
13.13524269,28.08070988,28.08070988,20.86725139,4,1,1,3
12.03526848,13.42496594,11.7050505,13.3137085,3,1,4,2
25.68477599,20.53667931,27.08070988,27.08070988,3,4,1,1
14.33872952,11.60507629,13.80338017,12.85515814,1,4,2,3
15.76445016,17.58845727,17.58845727,16.86725139,4,1,1,3
18.33425797,17.75160221,12.89644408,15.84466612,1,2,4,3
14.98349052,16.38603593,19.40256468,15.85515814,4,2,1,3
24.33451662,23.03276316,27.08070988,19.79045241,2,3,1,4
16.14733594,16.51201239,19.11119689,22.33451662,4,3,2,1
18.78101496,14.85515814,22.729237,30.51984507,3,4,2,1
14.76445016,20.70421598,23.98098519,24.33451662,4,3,2,1
18.86725139,24.68477599,22.03276316,18.83275687,3,1,2,4
16.95348781,14.42496594,17.42577596,17.83275687,3,4,2,1
14.42496594,13.60507629,13.79209694,15.71714375,2,4,3,1
11.65685425,12.41368271,12.60507629,12.60507629,4,3,1,1
24.68477599,20.34528573,17.26193054,21.16120833,1,3,4,2
24.98098519,20.40256468,29.51984507,23.16120833,2,4,1,3
12.47674391,12.60507629,13.39050748,10.94822204,3,2,1,4
16.76445016,24.33451662,18.86725139,27.08070988,4,2,3,1
22.03276316,22.03276316,23.33451662,22.03276316,2,2,1,2
11.47674391,12.39050748,13.32663627,16.80338017,4,3,2,1
18.9668715,17.40256468,15.42496594,15.76892171,1,2,4,3
17.45434264,18.78101496,18.04289018,17.14733594,3,1,2,4
25.71293085,23.03276316,19.40256468,32,2,3,4,1
16.38603593,16.33425797,11.65685425,14.60507629,1,2,4,3
17.04736173,17.42577596,17.83275687,14.85515814,3,2,1,4
23.33451662,20.11119689,19.86277984,22.03276316,1,3,4,2
20.93108655,17.04736173,18.40256468,23.33451662,2,4,3,1
12.32663627,11.75682846,16.45434264,13.47674391,3,4,1,2
24.68477599,12.85515814,20.7827941,20.53667931,1,4,2,3
24.68477599,21.16120833,17.51201239,16.36190475,1,2,3,4
21.24531152,17.71714375,20.34528573,19.78101496,1,4,2,3
19.7827941,18.08182019,22.41117739,18.7126722,2,4,1,3
18.7827941,22.41117739,17.40256468,23.33451662,3,2,4,1
15.45434264,13.76892171,12.03526848,17.7827941,2,3,4,1
29.51984507,19.9668715,26.28273866,26.68477599,1,4,3,2
16.33425797,14.80338017,18.7827941,18.7827941,3,4,1,1
16.55329833,16.33425797,25.68477599,18.51201239,3,4,1,2
20.03276316,18.04736173,18.9668715,32,2,4,3,1
17.58845727,17.58845727,15.38603593,14.42496594,1,1,3,4
16.71714375,15.36190475,17.58845727,15.3137085,2,3,1,4
12.47674391,21.16120833,12.85515814,17.33872952,4,1,3,2
27.08070988,23.33451662,23.98098519,27.06319022,1,4,3,2
17.45434264,18.7827941,24.33451662,24.41117739,4,3,2,1
22.03276316,15.36190475,12.39050748,19.9668715,1,3,4,2
22.16120833,24.68477599,21.53667931,29.45912411,3,2,4,1
9.75682846,9.948222039,10.32663627,10.13524269,4,3,1,2
12.39050748,12.76892171,11.85515814,12.39050748,2,1,4,2
19.58845727,21.16120833,24.68477599,18.45434264,3,2,1,4
13.41368271,15.95348781,15.33872952,12.32663627,3,1,2,4
19.7827941,22.41117739,26.68477599,30.51984507,4,3,2,1
10.37841423,21.53667931,16.13359816,25.84037858,4,2,3,1
25.33451662,22.73101614,28.08070988,28.08070988,3,4,1,1
17.33425797,22.03276316,20.7827941,24.68477599,4,2,3,1
16.76892171,19.40256468,16.39050748,23.03276316,3,2,4,1
14.65327254,24.68477599,19.9668715,19.9668715,4,1,2,2
15.23357237,21.03276316,17.86725139,14.41368271,3,1,2,4
22.73101614,19.7126722,19.04736173,21.7827941,1,3,4,2
23.03276316,23.03276316,26.68477599,20.99558377,2,2,1,4
19.58845727,17.7126722,24.98098519,29.51984507,3,4,2,1
7.75682846,9.035268479,7.75682846,7,3,1,2,4
19.7827941,21.03276316,15.23357237,17.14286439,2,1,4,3
29.51984507,17.40256468,22.33451662,30.51984507,2,4,3,1
19.08182019,12.94822204,22.84485012,25.68477599,3,4,2,1
21.03276316,17.33425797,18.9668715,22.33451662,2,4,3,1
18.86277984,19.53667931,21.03276316,17.33425797,3,2,1,4
17.14733594,18.7827941,16.45434264,30.51984507,3,2,4,1
17.33872952,19.04289018,16.22308035,19.58845727,3,2,4,1
13.42496594,13.42496594,13.80338017,14.33872952,3,3,2,1
19.78097891,18.86725139,22.03276316,24.68477599,3,4,2,1
13.84466612,29.51984507,24.41117739,24.43964835,4,1,3,2
24.68477599,22.33451662,20.53667931,24.68477599,1,3,4,1
12.42496594,11.60507629,11.03526848,11.85515814,1,3,4,2
18.58845727,25.68477599,22.03276316,21.7827941,4,1,2,3
25.68477599,20.7827941,16.45434264,19.99558377,1,2,4,3
23.84485012,23.41117739,10.60507629,32,2,3,4,1
16.76445016,25.68477599,15.80338017,22.73101614,3,1,4,2
8.75682846,10.47674391,8.37841423,9.326636269,3,1,4,2
11.94822204,15.76892171,11.65685425,24.33451662,3,2,4,1
9.948222039,14.45434264,10.32663627,12.76892171,4,1,3,2
13.41368271,13.79209694,17.58845727,13.98349052,4,3,1,2
19.7827941,13.98349052,17.45434264,16.76445016,1,4,2,3
21.73101614,19.40256468,18.86725139,18.99558377,1,2,4,3
19.11119689,17.71714375,11.47674391,32,2,3,4,1
23.33451662,17.33872952,19.58845727,19.9668715,1,4,3,2
24.33451662,15.3137085,18.58845727,22.53962256,1,4,3,2
23.41117739,28.08070988,20.58845727,27.06319022,3,1,4,2
16.45434264,16.45434264,13.85515814,17.58845727,2,2,4,1
25.6896174,23.33451662,22.93108655,29.51984507,2,3,4,1
14.55329833,13.60507629,11.60507629,16.83275687,2,3,4,1
12.65327254,25.78959162,17.7827941,32,4,2,3,1
15.13359816,17.58845727,18.7827941,14.42496594,3,2,1,4
13.89644408,17.7126722,18.58845727,17.45434264,4,2,1,3
23.33451662,18.42577596,13.76892171,24.68477599,2,3,4,1
28.08070988,28.08070988,21.03276316,27.06319022,1,1,4,3
21.04289018,24.41117739,26.68477599,32,4,3,2,1
11.89644408,14.33872952,12.41368271,13.76892171,4,1,3,2
14.84466612,15.76892171,14.41368271,20.16120833,3,2,4,1
18.23821127,18.42604851,18.35583265,20.55668422,2.57,2.57,2.61,2.08
